<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB,60,20190112,020000,66.8650000,66.8738000,66.8157000,66.8697000,5893
USDRUB,60,20190112,030000,66.8697000,66.9438000,66.8281000,66.8571000,6881
USDRUB,60,20190112,040000,66.8600000,67.0912000,66.6897000,66.8800000,1360
USDRUB,60,20190112,050000,66.8925000,66.9207000,66.8117000,66.8990000,24
USDRUB,60,20190112,060000,66.8990000,66.8990000,66.8887000,66.8887000,10
USDRUB,60,20190114,000000,66.8790000,66.8790000,66.8790000,66.8790000,1
USDRUB,60,20190114,010000,66.8790000,66.8790000,66.8150000,66.8495000,13
USDRUB,60,20190114,020000,66.8495000,66.8790000,66.8495000,66.8495000,12
USDRUB,60,20190114,030000,66.8495000,66.9896000,66.8495000,66.8683000,27
USDRUB,60,20190114,040000,66.8732000,66.8832000,66.8145000,66.8666000,43
USDRUB,60,20190114,050000,66.8754000,66.8773000,66.7847000,66.8145000,792
USDRUB,60,20190114,060000,66.8104000,66.8823000,66.5024000,66.8372000,193
USDRUB,60,20190114,070000,66.8621000,66.8976000,66.7672000,66.8138000,176
USDRUB,60,20190114,080000,66.8114000,66.9136000,66.7670000,66.7845000,190
USDRUB,60,20190114,090000,66.8671000,66.9344000,66.7845000,66.8725000,348
USDRUB,60,20190114,100000,66.9118000,66.9359000,66.7959000,66.9107000,1558
USDRUB,60,20190114,110000,66.9261000,67.1280000,66.8814000,67.0987000,1250
USDRUB,60,20190114,120000,67.1013000,67.1220000,67.0350000,67.0562000,1760
USDRUB,60,20190114,130000,67.0562000,67.1300000,67.0050000,67.1148000,2878
USDRUB,60,20190114,140000,67.0755000,67.2738000,67.0554000,67.0742000,41656
USDRUB,60,20190114,150000,67.1236000,67.1542000,67.0508000,67.1505000,38418
USDRUB,60,20190114,160000,67.1505000,67.2816000,67.0801000,67.2683000,27233
USDRUB,60,20190114,170000,67.2489000,67.2959000,67.1586000,67.1840000,36433
