<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20190207,13:00:00,216.3200000,216.5500000,214.8800000,215.2200000,8276310
SBER,60,20190207,14:00:00,215.2500000,215.6000000,213.6600000,213.9200000,11769180
SBER,60,20190207,15:00:00,213.9300000,213.9500000,212.5100000,213.1600000,11049820
SBER,60,20190207,16:00:00,213.1800000,213.3800000,212.2500000,212.6800000,3839550
SBER,60,20190207,17:00:00,212.6800000,213.1400000,212.1000000,212.2400000,5467790
SBER,60,20190207,18:00:00,212.2000000,212.4500000,211.0000000,211.5700000,10019930
SBER,60,20190207,19:00:00,211.5100000,211.7000000,210.6000000,211.0100000,7187660
SBER,60,20190208,11:00:00,209.9900000,210.6400000,208.7000000,210.5900000,11193260
SBER,60,20190208,12:00:00,210.5600000,211.5600000,209.6400000,211.5300000,7458010
SBER,60,20190208,13:00:00,211.5300000,211.9300000,210.3300000,210.5700000,6525220
SBER,60,20190208,14:00:00,210.6100000,210.7300000,209.8200000,210.5400000,5162330
SBER,60,20190208,15:00:00,210.5400000,210.8900000,210.1300000,210.4000000,3117560
SBER,60,20190208,16:00:00,210.4000000,211.1500000,210.1800000,211.0700000,4145620
SBER,60,20190208,17:00:00,211.1100000,211.3700000,210.2700000,210.5700000,3404890
SBER,60,20190208,18:00:00,210.5700000,210.7300000,209.5000000,209.9300000,5276640
SBER,60,20190208,19:00:00,209.9300000,210.4300000,209.3100000,210.4300000,5197150
SBER,60,20190211,11:00:00,211.0000000,213.2000000,210.8000000,212.9600000,10502680
SBER,60,20190211,12:00:00,212.9200000,214.7200000,212.2600000,214.3800000,12611030
SBER,60,20190211,13:00:00,214.3800000,214.7000000,213.7500000,214.0800000,5204700
SBER,60,20190211,14:00:00,214.0600000,214.4700000,213.3200000,213.7200000,3799950
SBER,60,20190211,15:00:00,213.7600000,213.8500000,213.0500000,213.6500000,3067300
SBER,60,20190211,16:00:00,213.6500000,213.8100000,213.2700000,213.5300000,2082850
SBER,60,20190211,17:00:00,213.5400000,214.1400000,213.4500000,214.0000000,1840660
SBER,60,20190211,18:00:00,214.0300000,214.2800000,213.3500000,213.9200000,5273670
SBER,60,20190211,19:00:00,213.9200000,214.1900000,213.2200000,214.0000000,5214310
SBER,60,20190212,11:00:00,214.7300000,215.4300000,214.6000000,214.9400000,7232920
SBER,60,20190212,12:00:00,214.9400000,216.1400000,214.9000000,215.8000000,8431070
SBER,60,20190212,13:00:00,215.7900000,216.9100000,215.4600000,216.6200000,8609630
SBER,60,20190212,14:00:00,216.6600000,217.4700000,216.3100000,217.1800000,6924130
SBER,60,20190212,15:00:00,217.1600000,218.0600000,216.9700000,217.9000000,7391150
SBER,60,20190212,16:00:00,217.9000000,218.0000000,217.2000000,217.7700000,4322670
SBER,60,20190212,17:00:00,217.7700000,218.3800000,217.5700000,218.2800000,9092270
SBER,60,20190212,18:00:00,218.3300000,219.4000000,218.2800000,219.0400000,12623150
SBER,60,20190212,19:00:00,219.0400000,219.4500000,218.9000000,219.1000000,8897370
SBER,60,20190213,11:00:00,219.6000000,220.7000000,219.1100000,219.9700000,12868000
SBER,60,20190213,12:00:00,219.9600000,220.0000000,216.2400000,216.2600000,18889840
SBER,60,20190213,13:00:00,216.3000000,217.1900000,214.8600000,215.5700000,13875690
SBER,60,20190213,14:00:00,215.5000000,216.1200000,214.1400000,214.4900000,8882070
SBER,60,20190213,15:00:00,214.5700000,215.4600000,214.0500000,215.0100000,7003460
